sensor_id,timestamp,temperature,humidity,air_quality_index,sensor_status
S03,2024-06-01 00:00:00,,76.3,,Inactive
S04,2024-06-01 01:00:00,24.3,41.9,292.0,Active
S01,2024-06-01 02:00:00,21.6,30.3,135.0,Active
S03,2024-06-01 03:00:00,43.7,78.9,77.0,Active
S03,2024-06-01 04:00:00,44.1,72.4,115.0,Active
S04,2024-06-01 05:00:00,40.2,73.7,219.0,Active
S01,2024-06-01 06:00:00,27.6,,94.0,Maintenance
S01,2024-06-01 07:00:00,22.4,34.4,111.0,Active
S03,2024-06-01 08:00:00,37.1,,,Active
S02,2024-06-01 09:00:00,31.0,37.0,,Active
S03,2024-06-01 10:00:00,23.1,81.8,,Active
S03,2024-06-01 11:00:00,,67.4,77.0,Maintenance
S03,2024-06-01 12:00:00,20.9,49.9,77.0,Maintenance
S03,2024-06-01 13:00:00,42.7,33.8,157.0,Active
S04,2024-06-01 14:00:00,26.5,48.7,93.0,Active
S01,2024-06-01 15:00:00,36.6,49.5,133.0,Active
S04,2024-06-01 16:00:00,27.8,73.8,79.0,Maintenance
S04,2024-06-01 17:00:00,33.0,68.3,239.0,Inactive
S04,2024-06-01 18:00:00,33.7,,124.0,Active
S03,2024-06-01 19:00:00,,58.3,,Maintenance
