sensor_id,timestamp,temperature,humidity,air_quality_index,sensor_status,temp_scaled,humidity_scaled,aqi_scaled,status_encoded
S03,2024-06-01 00:00:00,31.547058823529415,76.3,134.8,Inactive,9.839828799059212e-16,1.1854050899914093,0.0,1
S04,2024-06-01 01:00:00,24.3,41.9,292.0,Active,-1.0035964697317952,-0.9761942134915227,2.8516282471571337,0
S01,2024-06-01 02:00:00,21.6,30.3,135.0,Active,-1.3775013233088198,-1.7051056065264647,0.0036280257597416945,0
S03,2024-06-01 03:00:00,43.7,78.9,77.0,Active,1.682979144858678,1.3487817815337244,-1.0484994445654094,0
S03,2024-06-01 04:00:00,44.1,72.4,115.0,Active,1.7383724564997185,0.9403400526779379,-0.3591745502144484,0
S04,2024-06-01 05:00:00,40.2,73.7,219.0,Active,1.198287667999572,1.022028398449095,1.52739884485134,0
S01,2024-06-01 06:00:00,27.6,57.435294117647054,94.0,Maintenance,-0.5466016486932095,-4.464850821842702e-16,-0.7401172549873479,2
S01,2024-06-01 07:00:00,22.4,34.4,111.0,Active,-1.2667147000267387,-1.4474731314020457,-0.4317350654092864,0
S03,2024-06-01 08:00:00,37.1,57.435294117647054,134.8,Active,0.7689895027815066,-4.464850821842702e-16,0.0,0
S02,2024-06-01 09:00:00,31.0,37.0,134.8,Active,-0.07575849974436394,-1.284096439859731,0.0,0
S03,2024-06-01 10:00:00,23.1,81.8,134.8,Active,-1.1697764046549173,1.5310096297924594,0.0,0
S03,2024-06-01 11:00:00,31.547058823529415,67.4,77.0,Maintenance,9.839828799059212e-16,0.6261541074042558,-1.0484994445654094,2
S03,2024-06-01 12:00:00,20.9,49.9,77.0,Maintenance,-1.4744396186806412,-0.4734967010536315,-1.0484994445654094,2
S03,2024-06-01 13:00:00,42.7,33.8,157.0,Active,1.5444958657560763,-1.4851754448348875,0.4027108593313508,0
S04,2024-06-01 14:00:00,26.5,48.7,93.0,Active,-0.6989332557060716,-0.5489013279193149,-0.7582573837860574,0
S01,2024-06-01 15:00:00,36.6,49.5,133.0,Active,0.6997478632302058,-0.498631576675526,-0.03265223183767731,0
S04,2024-06-01 16:00:00,27.8,73.8,79.0,Maintenance,-0.5189049928726893,1.0283121173545682,-1.0122191869679906,2
S04,2024-06-01 17:00:00,33.0,68.3,239.0,Inactive,0.20120805846083945,0.6827075775535181,1.8902014208255302,1
S04,2024-06-01 18:00:00,33.7,57.435294117647054,124.0,Active,0.298146353832661,-4.464850821842702e-16,-0.19591339102606284,0
S03,2024-06-01 19:00:00,31.547058823529415,58.3,134.8,Maintenance,9.839828799059212e-16,0.054335687006154106,0.0,2
