sensor_id,timestamp,road_name,location,traffic_density,avg_speed_kmh,vehicle_count
TS001,2024-09-01 06:00:00,Main Street,Zone-A,78.0,76.0,319
TS002,2024-09-01 06:30:00,main street,zone a,61.0,49.4,400
TS003,2024-09-01 07:00:00,MAIN STREET,ZONE A,79.0,37.0,353
TS004,2024-09-01 07:30:00,Main St.,Zone A,99.0,11.1,320
TS005,2024-09-01 08:00:00,  Broadway ,Zone-B,,26.2,264
TS006,2024-09-01 08:30:00,broadway,zone-b,,26.9,301
TS007,2024-09-01 09:00:00,BROADWAY,ZONE B,,57.8,239
TS008,2024-09-01 09:30:00,Broadway Ave,Zone B,66.0,52.7,345
TS009,2024-09-01 10:00:00,MG Road,Zone-A,81.0,68.3,262
TS010,2024-09-01 10:30:00,mg road,Zone A,70.0,22.1,257
TS011,2024-09-01 11:00:00,M.G. Road,zone a,,37.4,286
TS012,2024-09-01 11:30:00,MG Road,ZONE-A,83.0,22.8,387
TS013,2024-09-01 12:00:00,Park Lane,Zone-B,22.0,62.9,416
TS014,2024-09-01 12:30:00,park lane,zone b,70.0,39.8,102
TS015,2024-09-01 13:00:00,PARK LANE,ZONE-B,,24.6,329
TS016,2024-09-01 13:30:00,Park Ln.,Zone B,,49.7,459
TS017,2024-09-01 14:00:00,Main Street,Zone-A,92.0,12.2,266
TS018,2024-09-01 14:30:00,Broadway,Zone-B,58.0,69.0,301
TS019,2024-09-01 15:00:00,MG Road,Zone-A,37.0,41.5,237
TS020,2024-09-01 15:30:00,Park Lane,Zone-B,23.0,37.7,429
TS003,2024-09-01 07:00:00,MAIN STREET,ZONE A,79.0,37.0,353
