sensor_id,timestamp,road_name,location,traffic_density,avg_speed_kmh,vehicle_count,speed_normalized,vehicle_count_normalized
TS001,2024-09-01 06:00:00,Main Street,Zone A,78.0,76.0,319,0.9999999999999998,0.607843137254902
TS002,2024-09-01 06:30:00,Main Street,Zone A,61.0,49.4,400,0.5901386748844375,0.834733893557423
TS003,2024-09-01 07:00:00,Main Street,Zone A,79.0,37.0,353,0.39907550077041604,0.7030812324929973
TS004,2024-09-01 07:30:00,Main Street,Zone A,99.0,11.1,320,0.0,0.6106442577030813
TS005,2024-09-01 08:00:00,Broadway,Zone B,62.0,26.2,264,0.23266563944530044,0.45378151260504207
TS006,2024-09-01 08:30:00,Broadway,Zone B,62.0,26.9,301,0.2434514637904468,0.5574229691876751
TS007,2024-09-01 09:00:00,Broadway,Zone B,62.0,57.8,239,0.719568567026194,0.3837535014005602
TS008,2024-09-01 09:30:00,Broadway,Zone B,66.0,52.7,345,0.6409861325115562,0.680672268907563
TS009,2024-09-01 10:00:00,MG Road,Zone A,81.0,68.3,262,0.8813559322033897,0.44817927170868355
TS010,2024-09-01 10:30:00,MG Road,Zone A,70.0,22.1,257,0.1694915254237288,0.4341736694677871
TS011,2024-09-01 11:00:00,MG Road,Zone A,75.5,37.4,286,0.40523882896764246,0.515406162464986
TS012,2024-09-01 11:30:00,MG Road,Zone A,83.0,22.8,387,0.18027734976887522,0.7983193277310924
TS013,2024-09-01 12:00:00,Park Lane,Zone B,22.0,62.9,416,0.798151001540832,0.8795518207282914
TS014,2024-09-01 12:30:00,Park Lane,Zone B,70.0,39.8,102,0.44221879815100146,0.0
TS015,2024-09-01 13:00:00,Park Lane,Zone B,23.0,24.6,329,0.20801232665639446,0.6358543417366948
TS016,2024-09-01 13:30:00,Park Lane,Zone B,23.0,49.7,459,0.5947611710323575,1.0
TS017,2024-09-01 14:00:00,Main Street,Zone A,92.0,12.2,266,0.016949152542372864,0.4593837535014006
TS018,2024-09-01 14:30:00,Broadway,Zone B,58.0,69.0,301,0.8921417565485361,0.5574229691876751
TS019,2024-09-01 15:00:00,MG Road,Zone A,37.0,41.5,237,0.46841294298921415,0.37815126050420167
TS020,2024-09-01 15:30:00,Park Lane,Zone B,23.0,37.7,429,0.40986132511556245,0.9159663865546218
