transaction_id,customer_id,transaction_date,amount,category
1001,204,2024-01-15,250.0,Food
1002,205,2024/02/20,1200.0,Electronics
1003,203,15-03-2024,75.0,Food
1004,205,2024-04-10,500.0,Clothing
1005,205,2024-05-22,50000.0,Electronics
1006,202,06/15/2024,340.0,Utilities
1007,203,2024-07-08,890.0,Food
1008,203,2024-08-19,120.0,Clothing
1009,203,2024-09-30,99999.0,Electronics
1010,205,2024-10-05,430.0,Utilities
1011,204,2024-11-11,670.0,Food
1012,203,2024-12-25,310.0,Clothing
1013,205,2025-01-01,1500.0,Electronics
1014,202,2025-02-14,210.0,Food
1015,204,2025-03-17,780.0,Utilities
