transaction_id,customer_id,transaction_date,amount,category,transaction_year,transaction_month,transaction_day,transaction_weekday,amount_normalized
1001,204,2024-01-15,250.0,Food,2024,1,15,Monday,0.08264462809917356
1002,205,2024-02-20,1200.0,Electronics,2024,2,20,Tuesday,0.5312868949232586
1003,203,2024-03-15,75.0,Food,2024,3,15,Friday,0.0
1004,205,2024-04-10,500.0,Clothing,2024,4,10,Wednesday,0.20070838252656437
1005,205,2024-05-22,2192.5,Electronics,2024,5,22,Wednesday,1.0
1006,202,2024-06-15,340.0,Utilities,2024,6,15,Saturday,0.12514757969303425
1007,203,2024-07-08,890.0,Food,2024,7,8,Monday,0.38488783943329397
1008,203,2024-08-19,120.0,Clothing,2024,8,19,Monday,0.02125147579693034
1009,203,2024-09-30,2192.5,Electronics,2024,9,30,Monday,1.0
1010,205,2024-10-05,430.0,Utilities,2024,10,5,Saturday,0.16765053128689494
1011,204,2024-11-11,670.0,Food,2024,11,11,Monday,0.2809917355371901
1012,203,2024-12-25,310.0,Clothing,2024,12,25,Wednesday,0.11097992916174736
1013,205,2025-01-01,1500.0,Electronics,2025,1,1,Wednesday,0.6729634002361276
1014,202,2025-02-14,210.0,Food,2025,2,14,Friday,0.06375442739079103
1015,204,2025-03-17,780.0,Utilities,2025,3,17,Monday,0.33293978748524206
